drift description,drifted features types,tree size,after accuracy decrease,after retrain accuracy,after retrain accuracy increase,before after retrain accuracy,before after retrain accuracy increase,FuzzySFLDT faulty nodes indicies,FuzzySFLDT faulty features,FuzzySFLDT wasted effort,FuzzySFLDT fix accuracy,FuzzySFLDT fix accuracy increase,STAT_FuzzySFLDT faulty nodes indicies,STAT_FuzzySFLDT faulty features,STAT_FuzzySFLDT wasted effort,STAT_FuzzySFLDT fix accuracy,STAT_FuzzySFLDT fix accuracy increase
acute-inflammation__NumericFeature[f5;-2std],numeric,7,66.66666666666666,70.83333333333334,4.166666666666674,87.5,20.833333333333336,6,target,1,66.66666666666666,0.0,2,f5,4,100.0,33.333333333333336
acute-inflammation__NumericFeature[f5;-1std],numeric,7,66.66666666666666,70.83333333333334,4.166666666666674,100.0,33.333333333333336,6,target,1,66.66666666666666,0.0,2,f5,4,100.0,33.333333333333336
acute-inflammation__NumericFeature[f5;+1std],numeric,7,87.5,70.83333333333334,-16.666666666666664,100.0,12.5,4,target,0,87.5,0.0,4,target,0,87.5,0.0
acute-inflammation__NumericFeature[f5;+2std],numeric,7,87.5,70.83333333333334,-16.666666666666664,100.0,12.5,4,target,0,87.5,0.0,4,target,0,87.5,0.0
acute-inflammation__NumericFeature[f4;-2std],numeric,7,45.83333333333333,70.83333333333334,25.000000000000007,45.83333333333333,0.0,1,target,0,45.83333333333333,0.0,1,target,0,45.83333333333333,0.0
acute-inflammation__NumericFeature[f4;+2std],numeric,7,66.66666666666666,70.83333333333334,4.166666666666674,66.66666666666666,0.0,5,target,2,87.5,20.833333333333336,5,target,4,87.5,20.833333333333336
acute-inflammation__NumericFeature[f6;-2std],numeric,7,87.5,70.83333333333334,-16.666666666666664,100.0,12.5,5,target,1,95.83333333333334,8.333333333333337,5,target,4,95.83333333333334,8.333333333333337
acute-inflammation__NumericFeature[f6;-1std],numeric,7,87.5,70.83333333333334,-16.666666666666664,100.0,12.5,5,target,1,95.83333333333334,8.333333333333337,5,target,4,95.83333333333334,8.333333333333337
acute-nephritis__NumericFeature[f1;-2std],numeric,5,58.333333333333336,91.66666666666666,33.33333333333333,79.16666666666666,20.833333333333325,1,target,0,41.66666666666667,-16.666666666666668,1,target,0,41.66666666666667,-16.666666666666668
acute-nephritis__NumericFeature[f1;-1std],numeric,5,83.33333333333334,91.66666666666666,8.333333333333325,100.0,16.666666666666664,1,target,1,83.33333333333334,0.0,1,target,0,83.33333333333334,0.0
